X_Scale,Y_Scale,Weird_na,Weird_Depth_na,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031,
-7.436912072,-131.0167221,-9999,-9999,,,,,,-74369.12072,-1310167.221
-7.427629781,-131.0166612,-9999,-9999,,,,,,-74276.29781,-1310166.612
-7.41834289,-131.0166058,-9999,-9999,,,,,,-74183.4289,-1310166.058
-7.409051118,-131.0165533,-9999,-9999,,,,,,-74090.51118,-1310165.533
-7.399754059,-131.0164982,-9999,-9999,,,,,,-73997.54059,-1310164.982
-7.390450995,-131.0164385,-9999,-9999,,,,,,-73904.50995,-1310164.385
-7.381142889,-131.0163786,-9999,-9999,,,,,,-73811.42889,-1310163.786
-7.37183012,-131.0163238,-9999,-9999,,,,,,-73718.3012,-1310163.238
-7.36251282,-131.0162778,-9999,-9999,,,,,,-73625.1282,-1310162.778
-7.353189529,-131.0162393,-9999,-9999,,,,,,-73531.89529,-1310162.393
-7.343860452,-131.0162063,-9999,-9999,,,,,,-73438.60452,-1310162.063
-7.334526528,-131.0161795,-9999,-9999,,,,,,-73345.26528,-1310161.795
-7.325188924,-131.0161629,-9999,-9999,,,,,,-73251.88924,-1310161.629
-7.315848448,-131.0161616,-9999,-9999,,,,,,-73158.48448,-1310161.616
-7.306505807,-131.0161743,-9999,-9999,,,,,,-73065.05807,-1310161.743
-7.297158558,-131.0161949,-9999,-9999,,,,,,-72971.58558,-1310161.949
-7.287805582,-131.0162169,-9999,-9999,,,,,,-72878.05582,-1310162.169
-7.278447385,-131.016236,-9999,-9999,,,,,,-72784.47385,-1310162.36
-7.269084346,-131.0162524,-9999,-9999,,,,,,-72690.84346,-1310162.524
-7.259715289,-131.0162659,-9999,-9999,,,,,,-72597.15289,-1310162.659
-7.250339443,-131.0162721,-9999,-9999,,,,,,-72503.39443,-1310162.721
-7.240956764,-131.0162706,-9999,-9999,,,,,,-72409.56764,-1310162.706
-7.231567788,-131.0162652,-9999,-9999,,,,,,-72315.67788,-1310162.652
-7.222172971,-131.0162619,-9999,-9999,,,,,,-72221.72971,-1310162.619
-7.212772348,-131.0162628,-9999,-9999,,,,,,-72127.72348,-1310162.628
-7.203364824,-131.0162655,-9999,-9999,,,,,,-72033.64824,-1310162.655
-7.1939499,-131.0162668,-9999,-9999,,,,,,-71939.499,-1310162.668
-7.184528723,-131.016264,-9999,-9999,,,,,,-71845.28723,-1310162.64
-7.175102365,-131.0162583,-9999,-9999,,,,,,-71751.02365,-1310162.583
-7.165670759,-131.0162504,-9999,-9999,,,,,,-71656.70759,-1310162.504
-7.156234201,-131.0162423,-9999,-9999,,,,,,-71562.34201,-1310162.423
-7.14679353,-131.0162358,-9999,-9999,,,,,,-71467.9353,-1310162.358
-7.137348389,-131.0162302,-9999,-9999,,,,,,-71373.48389,-1310162.302
-7.127898557,-131.0162247,-9999,-9999,,,,,,-71278.98557,-1310162.247
-7.118443808,-131.0162183,-9999,-9999,,,,,,-71184.43808,-1310162.183
-7.108984275,-131.0162099,-9999,-9999,,,,,,-71089.84275,-1310162.099
-7.099520962,-131.0162002,-9999,-9999,,,,,,-70995.20962,-1310162.002
-7.090055114,-131.0161914,-9999,-9999,,,,,,-70900.55114,-1310161.914
-7.080587333,-131.0161858,-9999,-9999,,,,,,-70805.87333,-1310161.858
-7.071119119,-131.0161873,-9999,-9999,,,,,,-70711.19119,-1310161.873
-7.06165199,-131.0161953,-9999,-9999,,,,,,-70616.5199,-1310161.953
-7.052186256,-131.016202,-9999,-9999,,,,,,-70521.86256,-1310162.02
-7.042720893,-131.0162044,-9999,-9999,,,,,,-70427.20893,-1310162.044
-7.033256315,-131.0162073,-9999,-9999,,,,,,-70332.56315,-1310162.073
-7.023793964,-131.0162152,-9999,-9999,,,,,,-70237.93964,-1310162.152
-7.01433324,-131.0162232,-9999,-9999,,,,,,-70143.3324,-1310162.232
-7.004873,-131.0162279,-9999,-9999,,,,,,-70048.73,-1310162.279
-6.995414485,-131.0162338,-9999,-9999,,,,,,-69954.14485,-1310162.338
-6.985959624,-131.0162463,-9999,-9999,,,,,,-69859.59624,-1310162.463
-6.976507242,-131.0162601,-9999,-9999,,,,,,-69765.07242,-1310162.601
-6.96705437,-131.0162674,-9999,-9999,,,,,,-69670.5437,-1310162.674
-6.957601196,-131.0162716,-9999,-9999,,,,,,-69576.01196,-1310162.716
