X_Scale,Y_Scale,H_Ell_Scale,NS,CMI_na,Weird_Depth_na,CMI_Depth,CMI_FileNum,CMI_SurfElev,CMI_Thickness,DICE_FileNum,DICE_IceBase,DICE_SurfElev,DICE_Thickness,H_Ell,SIR_IceBase,SIR_SurfElev_clean,SIR_Thickness,SurfHell_Edit_lidar_edit,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031,
-8.948341842,-131.0265801,8.98847,9,-9999,-9999,,,,,,,,,900.864,,,,,,,,,,-89483.41842,-1310265.801
-8.939512136,-131.0264698,8.99134,9,-9999,-9999,,,,,,,,,900.713,,,,,,,,,,-89395.12136,-1310264.698
-8.930669183,-131.0263547,8.99479,9,-9999,-9999,,,,,,,,,900.993,,,,,,,,,,-89306.69183,-1310263.547
-8.921805578,-131.0262437,8.99849,9,-9999,-9999,,,,,,,,,901.032,,,,,,,,,,-89218.05578,-1310262.437
-8.912915688,-131.0261394,9.00147,9,-9999,-9999,,,,,,,,,900.371,,,,,,,,,,-89129.15688,-1310261.394
-8.904008712,-131.0260478,9.00408,9,-9999,-9999,,,,,,,,,899.783,,,,,,,,,,-89040.08712,-1310260.478
-8.895089153,-131.025953,9.0075,9,-9999,-9999,,,,,,,,,899.45,,,,,,,,,,-88950.89153,-1310259.53
-8.886145066,-131.0258471,9.01124,9,-9999,-9999,,,,,,,,,899.009,,,,,,,,,,-88861.45066,-1310258.471
-8.877175011,-131.025736,9.01377,9,-9999,-9999,,,,,,,,,898.284,,,,,,,,,,-88771.75011,-1310257.36
-8.868185145,-131.025632,9.01536,9,-9999,-9999,,,,,,,,,897.811,,,,,,,,,,-88681.85145,-1310256.32
-8.859180269,-131.0255413,9.01739,9,-9999,-9999,,,,,,,,,897.544,,,,,,,,,,-88591.80269,-1310255.413
-8.850152255,-131.0254406,9.0196,9,-9999,-9999,,,,,,,,,896.961,,,,,,,,,,-88501.52255,-1310254.406
-8.841104172,-131.025333,9.02091,9,-9999,-9999,,,,,,,,,896.276,,,,,,,,,,-88411.04172,-1310253.33
-8.832042028,-131.025229,9.02097,9,-9999,-9999,,,,,,,,,896.063,,,,,,,,,,-88320.42028,-1310252.29
-8.822966543,-131.0251358,9.01966,9,-9999,-9999,,,,,,,,,895.676,,,,,,,,,,-88229.66543,-1310251.358
-8.813874795,-131.025063,9.01758,9,-9999,-9999,,,,,,,,,895.169,,,,,,,,,,-88138.74795,-1310250.63
-8.804779192,-131.0250218,9.01462,9,-9999,-9999,,,,,,,,,895.449,,,,,,,,,,-88047.79192,-1310250.218
-8.795676381,-131.0250065,9.0116,9,-9999,-9999,,,,,,,,,895.932,,,,,,,,,,-87956.76381,-1310250.065
-8.786556277,-131.0249912,9.00854,9,-9999,-9999,,,,,,,,,896.132,,,,,,,,,,-87865.56277,-1310249.912
