LineNum,LineFull,unixTime,UTCDate,UTCsod,UTCTime,Latitude,Longitude,X_EPSG_3031,Y_EPSG_3031,DICE_SurfElev,DICE_Thickness,DICE_IceBase,DICE_FileNum
L840,L840:2004,1480300618,2016/11/28,9418,02:36:58,-78.2570665063,-179.514723683,-10842.7660631765,-1280157.00905754,-17.768821666803,287.89008112721,-305.658902794013,7
L840,L840:2004,1480300619,2016/11/28,9419,02:36:59,-78.2570741289,-179.518653924,-10754.9458124801,-1280156.91322061,-16.603201236297,288.38566598541,-304.988867221707,7
L840,L840:2004,1480300620,2016/11/28,9420,02:37:00,-78.2570815988,-179.522583806,-10667.1337867187,-1280156.82805134,-16.486996863081,287.62845066364,-304.115447526721,7
L840,L840:2004,1480300621,2016/11/28,9421,02:37:01,-78.2570888371,-179.526513567,-10579.3247367951,-1280156.76225478,-15.412751461549,289.15967171559,-304.572423177139,7
L840,L840:2004,1480300622,2016/11/28,9422,02:37:02,-78.2570957508,-179.530443497,-10491.5122620863,-1280156.72609153,-15.381742087637,290.11024943234,-305.491991519977,7
L840,L840:2004,1480300623,2016/11/28,9423,02:37:03,-78.2571025629,-179.534373724,-10403.6932968751,-1280156.69510949,-15.390200404083,289.59987127401,-304.990071678093,7
L840,L840:2004,1480300624,2016/11/28,9424,02:37:04,-78.2571096544,-179.538304545,-10315.8608664655,-1280156.62754537,-15.425643713732,290.32110320448,-305.746746918212,7
L840,L840:2004,1480300625,2016/11/28,9425,02:37:05,-78.2571169635,-179.542236098,-10228.011948448,-1280156.53020369,-15.500742663244,283.39328089681,-298.894023560054,7
L840,L840:2004,1480300626,2016/11/28,9426,02:37:06,-78.2571242586,-179.546168752,-10140.1385049497,-1280156.42856489,-15.664184154836,270.90477933315,-286.568963487986,7
L840,L840:2004,1480300627,2016/11/28,9427,02:37:07,-78.2571313574,-179.550102553,-10052.239665409,-1280156.34263978,-15.861556603107,275.1652993712,-291.026855974307,7
L840,L840:2004,1480300628,2016/11/28,9428,02:37:08,-78.2571381141,-179.554037723,-9964.31059022623,-1280156.28846357,-16.082263615161,287.72825752614,-303.810521141301,7
L840,L840:2004,1480300629,2016/11/28,9429,02:37:09,-78.2571446992,-179.557974363,-9876.34887107917,-1280156.24733471,-16.313946264594,291.21700680099,-307.530953065584,7
L840,L840:2004,1480300630,2016/11/28,9430,02:37:10,-78.2571513236,-179.561912619,-9788.35106545048,-1280156.19612468,-16.552791092497,287.77065246413,-304.323443556627,7
L840,L840:2004,1480300631,2016/11/28,9431,02:37:11,-78.257157858,-179.565852181,-9700.32420849149,-1280156.14896451,-16.762604317241,272.58143532016,-289.344039637401,7
L840,L840:2004,1480300632,2016/11/28,9432,02:37:12,-78.2571640733,-179.56979265,-9612.27740221784,-1280156.1309255,-16.910272991938,272.34684913928,-289.257122131218,7
L840,L840:2004,1480300633,2016/11/28,9433,02:37:13,-78.2571699412,-179.573733871,-9524.2141260845,-1280156.14508376,-17.016428538569,276.3155608802,-293.331989418769,7
L840,L840:2004,1480300634,2016/11/28,9434,02:37:14,-78.2571755887,-179.577676082,-9436.12895227661,-1280156.17753652,-17.099460542981,277.15054009545,-294.250000638431,7
L840,L840:2004,1480300635,2016/11/28,9435,02:37:15,-78.2571814492,-179.581619247,-9348.02233322034,-1280156.1807067,-17.170179538293,274.59684065859,-291.767020196883,7
L840,L840:2004,1480300636,2016/11/28,9436,02:37:16,-78.2571875563,-179.585563338,-9259.89487308558,-1280156.15089766,-17.253456381925,276.80963891992,-294.063095301845,7
L840,L840:2004,1480300637,2016/11/28,9437,02:37:17,-78.2571937179,-179.589508229,-9171.74954414427,-1280156.10916839,-16.340550007316,280.8140939388,-297.154643946116,7
L840,L840:2004,1480300638,2016/11/28,9438,02:37:18,-78.2571997023,-179.593453779,-9083.58967884847,-1280156.08092249,-16.417539825908,276.63635187745,-293.053891703358,7
L840,L840:2004,1480300639,2016/11/28,9439,02:37:19,-78.2572054767,-179.597399819,-8995.41907485053,-1280156.06973033,-16.477675821354,272.9545641376,-289.432239958954,7
L840,L840:2004,1480300640,2016/11/28,9440,02:37:20,-78.2572108817,-179.601346493,-8907.23463215047,-1280156.09310663,-16.531752988712,273.1959494063,-289.727702395012,7
L840,L840:2004,1480300641,2016/11/28,9441,02:37:21,-78.2572161448,-179.605293713,-8819.03813695545,-1280156.12606625,-16.609741824891,273.84720766666,-290.456949491551,7
L840,L840:2004,1480300642,2016/11/28,9442,02:37:22,-78.2572212912,-179.609241552,-8730.82793656823,-1280156.16585205,-16.701935760738,273.32977887336,-290.031714634098,7
L840,L840:2004,1480300643,2016/11/28,9443,02:37:23,-78.2572264697,-179.613189873,-8642.60697948444,-1280156.19610929,-16.785029986956,272.66556514269,-289.450595129646,7
L840,L840:2004,1480300644,2016/11/28,9444,02:37:24,-78.2572316322,-179.617138478,-8554.37972603095,-1280156.22208532,-16.856752162229,272.541938604,-289.398690766229,7
L840,L840:2004,1480300645,2016/11/28,9445,02:37:25,-78.2572369651,-179.621087707,-8466.13844436694,-1280156.22337111,-16.94201097668,274.67994321483,-291.62195419151,7
L840,L840:2004,1480300646,2016/11/28,9446,02:37:26,-78.2572425615,-179.625037496,-8377.88450185468,-1280156.1897364,-17.013291670685,276.3929720176,-293.406263688285,7
L840,L840:2004,1480300647,2016/11/28,9447,02:37:27,-78.2572483113,-179.628987916,-8289.61639679791,-1280156.13327266,-17.086262849217,276.88163216944,-293.967895018657,7
L840,L840:2004,1480300648,2016/11/28,9448,02:37:28,-78.2572539825,-179.632938866,-8201.33655286263,-1280156.07942521,-17.152268824373,275.59184404136,-292.744112865733,7
L840,L840:2004,1480300649,2016/11/28,9449,02:37:29,-78.2572592502,-179.636890218,-8113.04805457131,-1280156.06383227,-17.236383828316,275.35667536592,-292.593059194236,7
L840,L840:2004,1480300650,2016/11/28,9450,02:37:30,-78.2572638564,-179.640842005,-8024.75033336753,-1280156.114813,-17.328528328387,275.74274246282,-293.071270791207,7
L840,L840:2004,1480300651,2016/11/28,9451,02:37:31,-78.2572679271,-179.644794235,-7936.44311017109,-1280156.21853767,-17.413925492979,276.79379161295,-294.207717105929,7
L840,L840:2004,1480300652,2016/11/28,9452,02:37:32,-78.2572717144,-179.648746863,-7848.12720904386,-1280156.34732937,-17.476912009081,277.25040033693,-294.727312346011,7
L840,L840:2004,1480300653,2016/11/28,9453,02:37:33,-78.257275591,-179.65270008,-7759.79810851301,-1280156.4603071,-17.542661826861,277.27798732653,-294.820649153391,7
L840,L840:2004,1480300654,2016/11/28,9454,02:37:34,-78.257279487,-179.656653881,-7671.45596871237,-1280156.56513923,-17.611374173744,279.3661579079,-296.977532081644,7
L840,L840:2004,1480300655,2016/11/28,9455,02:37:35,-78.2572833239,-179.660608006,-7583.10665070323,-1280156.67040427,-17.675572172084,281.57062758868,-299.246199760764,7
L840,L840:2004,1480300656,2016/11/28,9456,02:37:36,-78.2572871266,-179.664562498,-7494.74917681384,-1280156.77337352,-17.720120690823,281.59908512148,-299.319205812303,7
L840,L840:2004,1480300657,2016/11/28,9457,02:37:37,-78.2572910831,-179.668517245,-7406.38592972117,-1280156.85339714,-17.743770368171,282.86081286615,-300.604583234321,7
L840,L840:2004,1480300658,2016/11/28,9458,02:37:38,-78.2572952942,-179.672472406,-7318.01329756792,-1280156.89943109,-18.7551404104,284.81376999261,-303.56891040301,7
L840,L840:2004,1480300659,2016/11/28,9459,02:37:39,-78.2572994495,-179.676428314,-7229.62403875221,-1280156.94558296,-17.778080690537,286.57965084407,-304.357731534607,7
L840,L840:2004,1480300660,2016/11/28,9460,02:37:40,-78.2573035989,-179.680384569,-7141.22705905538,-1280156.98632273,-17.748119899158,288.38238044924,-306.130500348398,7
L840,L840:2004,1480300661,2016/11/28,9461,02:37:41,-78.257308125,-179.684341129,-7052.82306582273,-1280156.9796519,-17.683728398521,283.60892069654,-301.292649095061,7
L840,L840:2004,1480300662,2016/11/28,9462,02:37:42,-78.2573131106,-179.688298123,-6964.40913635887,-1280156.91649707,-18.632207924387,278.55237558998,-297.184583514367,7
L840,L840:2004,1480300663,2016/11/28,9463,02:37:43,-78.2573185012,-179.692255375,-6875.98924602553,-1280156.80281666,-18.596541262688,274.67693248321,-293.273473745898,7
L840,L840:2004,1480300664,2016/11/28,9464,02:37:44,-78.2573239739,-179.696212794,-6787.56562556831,-1280156.67403813,-18.563512941696,272.16992761418,-290.733440555876,7
L840,L840:2004,1480300665,2016/11/28,9465,02:37:45,-78.2573290606,-179.700170332,-6699.13961859105,-1280156.58153085,-18.450606490095,270.97496662491,-289.425573115005,7
L840,L840:2004,1480300666,2016/11/28,9466,02:37:46,-78.2573338098,-179.704127886,-6610.71349057275,-1280156.51995938,-18.342740448301,269.05830125571,-287.401041704011,7
L840,L840:2004,1480300667,2016/11/28,9467,02:37:47,-78.2573383149,-179.708086002,-6522.27498278518,-1280156.47913483,-18.268136115984,268.16937461295,-286.437510728934,7
L840,L840:2004,1480300668,2016/11/28,9468,02:37:48,-78.2573425346,-179.712044436,-6433.82956455668,-1280156.46356006,-19.183162998843,269.58766976227,-288.770832761113,7
L840,L840:2004,1480300669,2016/11/28,9469,02:37:49,-78.2573464383,-179.716002974,-6345.38202785665,-1280156.47656841,-19.06464634598,262.91475720641,-281.97940355239,7
L840,L840:2004,1480300670,2016/11/28,9470,02:37:50,-78.2573501374,-179.71996171,-6256.93020592165,-1280156.50594312,-17.933219146231,258.52222082352,-276.455439969751,7
L840,L840:2004,1480300671,2016/11/28,9471,02:37:51,-78.2573536774,-179.723920649,-6168.47395874126,-1280156.54669001,-18.807723853093,259.13639392864,-277.944117781733,7
L840,L840:2004,1480300672,2016/11/28,9472,02:37:52,-78.257357054,-179.727879816,-6080.01272678665,-1280156.59928276,-18.685949683445,259.53420855329,-278.220158236735,7
L840,L840:2004,1480300673,2016/11/28,9473,02:37:53,-78.2573603016,-179.731839001,-5991.55118110957,-1280156.65992284,-18.553926863822,257.64731368101,-276.201240544832,7
L840,L840:2004,1480300674,2016/11/28,9474,02:37:54,-78.2573634339,-179.735798285,-5903.08750248539,-1280156.7271149,-18.386150528064,255.67866452828,-274.064815056344,7
L840,L840:2004,1480300675,2016/11/28,9475,02:37:55,-78.2573666569,-179.739757699,-5814.62089338578,-1280156.77825227,-18.24742901701,258.21349497606,-276.46092399307,7
L840,L840:2004,1480300676,2016/11/28,9476,02:37:56,-78.2573700716,-179.743717311,-5726.14978739238,-1280156.80225598,-18.133970007369,262.36391895756,-280.497888964929,7
L840,L840:2004,1480300677,2016/11/28,9477,02:37:57,-78.257373522,-179.747677063,-5637.67556058349,-1280156.81624103,-18.046454329617,268.02446522736,-286.070919556977,7
L840,L840:2004,1480300678,2016/11/28,9478,02:37:58,-78.2573767364,-179.75163671,-5549.20381748048,-1280156.8500033,-17.950817163141,284.56763976088,-302.518456924021,7
