Line,UTCDate,UTCsod,UTCTime,unixTime,Latitude,Longitude,H_Ell,Pitch,Roll,Heading,X_EPSG_3031,Y_EPSG_3031,X,Y,Dist_meters,Dist_km,unix_sec,StartEnd
L210,2015/12/01,85092.09,23:38:12,1449013092.09,-84.0085451927,176.6474657182,818.562,4.54188,-21.842748,113.878381,38102.5941263178,-650441.010131245,3.81025941263178,-65.0441010131245,0,0,1449013092,1
L210,2015/12/02,2062,00:34:22,1449016462,-83.5217541137,-157.347036878,790.502,3.669776,23.360418,91.503818,-271374.80424833,-650241.261439244,-27.137480424833,-65.0241261439244,309477.46283741,309.47746283741,1449016462,1
L230,2015/12/01,80769.985,22:26:10,1449008769.985,-83.1976645023,-155.048275842,789.075,4.432854,3.241505,-153.022843,-312140.51831393,-670862.68637626,-31.214051831393,-67.086268637626,0,0,1449008769,1
L230,2015/12/01,84651,23:30:51,1449012651,-83.8083896628,174.4649189138,827.433,3.765301,8.233955,-82.830679,64949.3169078336,-670222.881467597,6.49493169078336,-67.0222881467597,377090.37799697,377.09037799697,1449012651,1
L250,2015/11/22,82739.07,22:58:59,1448233139.07,-83.6117340873,173.5341573724,787.091,3.475731,-2.526638,109.128647,78241.0810692325,-690372.114531028,7.82410810692325,-69.0372114531028,0,0,1448233139,1
L250,2015/11/23,1197,00:19:57,1448237997,-82.8322390796,-152.364947051,846.633,3.950455,-3.274383,62.142778,-361687.489480978,-690814.658296815,-36.1687489480978,-69.0814658296815,439928.793137408,439.928793137408,1448237997,1
L270,2015/12/01,74273.555,20:37:54,1449002273.555,-83.3218335133,169.2518754277,870.037,3.915022,-0.328548,140.621864,135465.547617479,-713645.063726144,13.5465547617479,-71.3645063726144,0,0,1449002273,1
L270,2015/12/01,80007,22:13:27,1449008007,-82.6136263961,-152.127864844,782.114,3.739092,1.734311,67.673101,-375690.412038413,-710390.936278729,-37.5690412038413,-71.0390936278729,511166.31778432,511.16631778432,1449008007,1
L290,2015/11/23,82362.31,22:52:42,1448319162.31,-82.1962610506,-149.467318855,893.68,1.949911,9.595908,-146.200607,-431396.248420641,-731411.183114421,-43.1396248420641,-73.1411183114421,0,0,1448319162,1
L290,2015/11/24,1734,00:28:54,1448324934,-83.1658874455,169.2305251414,817.22,3.420477,22.963854,-70.020139,138908.159043456,-730295.680845135,13.8908159043456,-73.0295680845135,570305.49841141,570.30549841141,1448324934,1
L310,2015/12/02,24448.64,06:47:29,1449038848.64,-82.9122293018,167.1953436697,807.047,4.727949,-5.703037,166.618181,170885.510678154,-751872.54924088,17.0885510678154,-75.187254924088,0,0,1449038848,1
L310,2015/12/02,31456,08:44:16,1449045856,-81.8443918584,-147.584324894,1267.175,3.911556,3.714734,66.783004,-475786.359088048,-749266.164357445,-47.5786359088048,-74.9266164357445,646677.122209435,646.677122209435,1449045856,1
L330,2015/11/23,74323.115,20:38:43,1448311123.115,-82.7289031884,166.522094458,780.123,2.325604,-3.251195,101.287517,184368.349527741,-769256.140433408,18.4368349527741,-76.9256140433408,0,0,1448311123,1
L330,2015/11/23,81699,22:41:39,1448318499,-81.6494726082,-147.974388189,1375.871,3.785701,7.845634,59.89156,-481961.454763388,-770532.902663057,-48.1961454763388,-77.0532902663057,666331.027499429,666.331027499429,1448318499,1
L350,2017/11/30,3805.965,01:03:26,1512003805.965,-81.5033930577,-148.613821036,1007.134,4.4592795889,-9.3232802377,-83.1698564194,-481641.479963507,-789483.586767468,-48.1641479963507,-78.9483586767468,0,0,1512003805,1
L350,2017/11/30,10202,02:50:02,1512010202,-82.5086681545,165.7987005036,780.227,2.8727301707,17.4880240878,-62.6342167777,199959.668572441,-790157.55709657,19.9959668572441,-79.015755709657,681601.481748336,681.601481748336,1512010202,1
L360,2015/11/17,37771.385,10:29:31,1447756171.385,-81.4555945209,-149.564635115,1236.616,5.469313,-4.366363,-129.992434,-471119.237638491,-801868.903124981,-47.1119237638491,-80.1868903124981,0,0,1447756171,1
