LineNum,unixTime,X_EPSG_3031,Y_EPSG_3031,Weird_SurfElev,The_Weird,Weird_Depth,Weird_FileNum
L840:2004,1480301896.502,13131907.8943497,-2738910.5272877,-10.807249703848,266.72812256574,-277.535372269588,167
L840:2004,1480301897.014,13132389.8702481,-2739019.60214424,-10.426131808295,262.59805122689,-273.024183035185,167
L840:2004,1480301897.526,13132871.7371673,-2739128.64028667,-9.9497344388536,259.16179286402,-269.111527302874,167
L840:2004,1480301897.974,13133293.301466,-2739224.01194576,-9.8544549649654,256.44311109862,-266.297566063585,167
L840:2004,1480301898.486,13133775.2094978,-2739332.96048853,-9.8544549649654,253.66676314666,-263.521218111625,167
L840:2004,1480301898.998,13134257.3073792,-2739441.84379923,-9.8544549649654,252.04639073946,-261.900845704425,167
L840:2004,1480301899.51,13134739.5353599,-2739550.68066184,-9.7591754910773,251.4776515088,-261.236826999877,167
L840:2004,1480301900.022,13135221.8548036,-2739659.53341451,-9.6638960171889,251.33511828276,-260.999014299949,167
L840:2004,1480301900.47,13135643.8877569,-2739754.83731869,-9.7591754910773,251.40835105182,-261.167526542897,167
L840:2004,1480301900.982,13136126.1619197,-2739863.79500274,-9.3780575955243,251.79435348946,-261.172411084984,167
L840:2004,1480301901.494,13136608.445207,-2739972.83416978,-9.3780575955243,252.81139989581,-262.189457491334,167
L840:2004,1480301902.006,13137090.7771577,-2740081.95042453,-9.3780575955243,255.18665232103,-264.564709916554,167
L840:2004,1480301902.518,13137573.1869985,-2740191.08509361,-9.6638960171889,258.12371046862,-267.787606485809,167
L840:2004,1480301903.03,13138055.6894541,-2740300.22353601,-9.7591754910773,260.98658128114,-270.745756772217,167
L840:2004,1480301903.478,13138477.96587,-2740395.7245512,-10.045013912742,263.38743329008,-273.432447202822,167
L840:2004,1480301903.99,13138960.5838614,-2740504.8718034,-9.9497344388536,265.86008248252,-275.809816921374,167
L840:2004,1480301904.502,13139443.1168914,-2740614.04525728,-9.7591754910773,268.35650007151,-278.115675562587,167
L840:2004,1480301905.014,13139925.6546528,-2740723.28050594,-9.7591754910773,270.90879715921,-280.667972650287,167
L840:2004,1480301905.526,13140408.1689474,-2740832.52088242,-9.5686165433008,273.59380384,-283.162420383301,167
L840:2004,1480301905.974,13140830.3819498,-2740928.04977125,-9.4733370694127,275.8218739542,-285.295211023613,167
L840:2004,1480301906.482,13141309.3315087,-2741036.25684131,-10.902529177736,277.76748773005,-288.670016907786,167
L840:2004,1480301906.994,13141792.0580351,-2741145.21813285,-9.6638960171889,279.63293481628,-289.296830833469,167
L840:2004,1480301907.506,13142274.5892022,-2741254.1712116,-10.045013912742,280.35195987125,-290.396973783992,167
L840:2004,1480301908.018,13142756.900286,-2741363.14246207,-10.330852334407,281.47579273854,-291.806645072947,167
L840:2004,1480301908.53,13143239.006176,-2741472.06540419,-10.807249703848,283.88229792346,-294.689547627308,167
L840:2004,1480301908.978,13143660.5388597,-2741567.3165136,-10.807249703848,286.57678222542,-297.384031929268,167
L840:2004,1480301909.49,13144141.87389,-2741676.10523566,-10.997808651624,289.34111566922,-300.338924320844,167
L840:2004,1480301910.002,13144622.9560548,-2741784.8267856,-10.997808651624,290.69929877701,-301.697107428634,167
