name,project,x,z,,y,,,,,x,y,z
antARctica,,17.043285,-82.0932625,,0.1,,,,,170432.85,-820932.625,0
antARctica,,16.6632825,-81.3432625,,0.1,,,,,166632.825,-813432.625,0
antARctica,,16.6907725,-81.3807625,,0.1,,,,,166907.725,-813807.625,0
antARctica,,16.718285,-81.4182625,,0.1,,,,,167182.85,-814182.625,0
antARctica,,16.7458,-81.4557625,,0.1,,,,,167458,-814557.625,0
antARctica,,16.77329,-81.4932625,,0.1,,,,,167732.9,-814932.625,0
antARctica,,16.493285,-80.8032725,,0.1,,,,,164932.85,-808032.725,0
antARctica,,16.5407725,-80.8832775,,0.1,,,,,165407.725,-808832.775,0
antARctica,,16.5882825,-80.96327,,0.1,,,,,165882.825,-809632.7,0
antARctica,,16.63579,-81.0432625,,0.1,,,,,166357.9,-810432.625,0
antARctica,,16.6833,-81.1232675,,0.1,,,,,166833,-811232.675,0
antARctica,,17.2333,-82.5232675,,0.1,,,,,172333,-825232.675,0
antARctica,,17.35581,-82.8032725,,0.1,,,,,173558.1,-828032.725,0
antARctica,,17.478295,-83.0832525,,0.1,,,,,174782.95,-830832.525,0
antARctica,,17.6007825,-83.3632575,,0.1,,,,,176007.825,-833632.575,0
antARctica,,17.72329,-83.6432625,,0.1,,,,,177232.9,-836432.625,0
antARctica,,16.7632325,-78.3732175,,0.1,,,,,167632.325,-783732.175,0
antARctica,,16.92495,-78.687745,,0.1,,,,,169249.5,-786877.45,0
antARctica,,17.2919925,-79.4044675,,0.1,,,,,172919.925,-794044.675,0
antARctica,,17.687135,-80.1830575,,0.1,,,,,176871.35,-801830.575,0
antARctica,,17.9332275,-80.683215,,0.1,,,,,179332.275,-806832.15,0
antARctica,,18.06853,-80.9869625,,0.1,,,,,180685.3,-809869.625,0
antARctica,,18.2282225,-81.3582275,,0.1,,,,,182282.225,-813582.275,0
antARctica,,18.38037,-81.7294675,,0.1,,,,,183803.7,-817294.675,0
antARctica,,18.4931875,-82.0332275,,0.1,,,,,184931.875,-820332.275,0
antARctica,,18.6213125,-82.4711925,,0.1,,,,,186213.125,-824711.925,0
antARctica,,18.7981925,-83.1369875,,0.1,,,,,187981.925,-831369.875,0
antARctica,,18.9600575,-83.80088,,0.1,,,,,189600.575,-838008.8,0
antARctica,,19.0431875,-84.2332275,,0.1,,,,,190431.875,-842332.275,0
antARctica,,19.10276,-84.6275875,,0.1,,,,,191027.6,-846275.875,0
antARctica,,19.204565,-85.1831775,,0.1,,,,,192045.65,-851831.775,0
antARctica,,19.3007325,-85.67876,,0.1,,,,,193007.325,-856787.6,0
antARctica,,19.3434325,-85.89314,,0.1,,,,,193434.325,-858931.4,0
antARctica,,19.3884275,-86.088135,,0.1,,,,,193884.275,-860881.35,0
antARctica,,19.4334475,-86.283155,,0.1,,,,,194334.475,-862831.55,0
antARctica,,19.4784425,-86.47815,,0.1,,,,,194784.425,-864781.5,0
antARctica,,19.5234375,-86.673145,,0.1,,,,,195234.375,-866731.45,0
antARctica,,18.10315,-77.373205,,0.1,,,,,181031.5,-773732.05,0
antARctica,,18.1019775,-77.407275,,0.1,,,,,181019.775,-774072.75,0
antARctica,,18.10879,-77.5031975,,0.1,,,,,181087.9,-775031.975,0
antARctica,,18.1390125,-77.651635,,0.1,,,,,181390.125,-776516.35,0
antARctica,,18.208155,-77.8432,,0.1,,,,,182081.55,-778432,0
antARctica,,18.3022225,-78.0505375,,0.1,,,,,183022.225,-780505.375,0
antARctica,,18.39065,-78.2457025,,0.1,,,,,183906.5,-782457.025,0
antARctica,,18.4641125,-78.41836,,0.1,,,,,184641.125,-784183.6,0
antARctica,,18.51316,-78.5582025,,0.1,,,,,185131.6,-785582.025,0
antARctica,,18.5578375,-78.7320325,,0.1,,,,,185578.375,-787320.325,0
antARctica,,18.61565,-78.97008,,0.1,,,,,186156.5,-789700.8,0
antARctica,,18.6734375,-79.2071775,,0.1,,,,,186734.375,-792071.775,0
antARctica,,18.71814,-79.3781975,,0.1,,,,,187181.4,-793781.975,0
antARctica,,18.764405,-79.5411625,,0.1,,,,,187644.05,-795411.625,0
antARctica,,18.829395,-79.7631825,,0.1,,,,,188293.95,-797631.825,0
antARctica,,18.903785,-79.9927125,,0.1,,,,,189037.85,-799927.125,0
antARctica,,18.97815,-80.178185,,0.1,,,,,189781.5,-801781.85,0
antARctica,,3.535170669,-73.93942023,,0.1,,,,,35351.70669,-739394.2023,0
antARctica,,3.5833,-74.0631825,,0.1,,,,,35833,-740631.825,0
antARctica,,3.669555,-74.3424075,,0.1,,,,,36695.55,-743424.075,0
antARctica,,3.8382825,-74.9244375,,0.1,,,,,38382.825,-749244.375,0
antARctica,,4.0107675,-75.56084,,0.1,,,,,40107.675,-755608.4,0
antARctica,,4.1082775,-76.003185,,0.1,,,,,41082.775,-760031.85,0
antARctica,,4.18274,-76.4328725,,0.1,,,,,41827.4,-764328.725,0
antARctica,,4.302685,-77.0369275,,0.1,,,,,43026.85,-770369.275,0
antARctica,,4.41416,-77.575355,,0.1,,,,,44141.6,-775753.55,0
antARctica,,4.463305,-77.8081675,,0.1,,,,,44633.05,-778081.675,0
antARctica,,4.519555,-78.221925,,0.1,,,,,45195.55,-782219.25,0
antARctica,,4.575805,-78.63567,,0.1,,,,,45758.05,-786356.7,0
antARctica,,4.632055,-79.049415,,0.1,,,,,46320.55,-790494.15,0
antARctica,,4.688305,-79.46316,,0.1,,,,,46883.05,-794631.6,0
antARctica,,4.7163575,-79.660265,,0.1,,,,,47163.575,-796602.65,0
antARctica,,4.78142,-80.1137825,,0.1,,,,,47814.2,-801137.825,0
antARctica,,4.8549325,-80.6169925,,0.1,,,,,48549.325,-806169.925,0
antARctica,,4.9083,-80.96316,,0.1,,,,,49083,-809631.6,0
antARctica,,4.98252,-81.317455,,0.1,,,,,49825.2,-813174.55,0
antARctica,,5.108325,-81.86255,,0.1,,,,,51083.25,-818625.5,0
antARctica,,5.241625,-82.41792,,0.1,,,,,52416.25,-824179.2,0
antARctica,,5.33833,-82.803175,,0.1,,,,,53383.3,-828031.75,0
antARctica,,5.44209,-83.1355225,,0.1,,,,,54420.9,-831355.225,0
antARctica,,5.594605,-83.568165,,0.1,,,,,55946.05,-835681.65,0
antARctica,,5.749,-83.974585,,0.1,,,,,57490,-839745.85,0
antARctica,,5.858375,-84.228175,,0.1,,,,,58583.75,-842281.75,0
antARctica,,5.9492425,-84.3916025,,0.1,,,,,59492.425,-843916.025,0
antARctica,,6.0565175,-84.5756825,,0.1,,,,,60565.175,-845756.825,0
antARctica,,6.1459725,-84.7259775,,0.1,,,,,61459.725,-847259.775,0
antARctica,,6.1833975,-84.78816,,0.1,,,,,61833.975,-847881.6,0
antARctica,,6.19856,-84.82395,,0.1,,,,,61985.6,-848239.5,0
antARctica,,6.2333975,-84.9094475,,0.1,,,,,62333.975,-849094.475,0
antARctica,,6.2719975,-85.0118175,,0.1,,,,,62719.975,-850118.175,0
